"CPCO";"BL-29";"Finish";"drop_down";"1";"";"1"
"CPCO";"BSK-10ST";"Finish";"drop_down";"1";"";"1"
"CPCO";"BSK-20DT";"Finish";"drop_down";"1";"";"1"
"CPCO";"BSK-30SR";"Finish";"drop_down";"1";"";"1"
"CPCO";"BSK-50ST";"Finish";"drop_down";"1";"";"1"
"CPCO";"BSK-60DR";"Finish";"drop_down";"1";"";"1"
"CPCO";"BSK-60SR";"Finish";"drop_down";"1";"";"1"
"CPCO";"DM-1/2X";"Finish";"drop_down";"1";"";"1"
"CPCO";"DM-2/2X";"Finish";"drop_down";"1";"";"1"
"CPCO";"MA-1/16TB";"Finish";"drop_down";"1";"";"1"
"CPCO";"MA-2/16";"Finish";"drop_down";"1";"";"1"
"CPCO";"MA-5/16";"Finish";"drop_down";"1";"";"1"
"CPCO";"MC-98";"Finish";"drop_down";"1";"";"1"
"CPCO";"MC-99";"Finish";"drop_down";"1";"";"1"
"CPCO";"PR-1/16";"Finish";"drop_down";"1";"";"1"
"CPCO";"PR-2/16";"Finish";"drop_down";"1";"";"1"
"CPCO";"PR-5/16";"Finish";"drop_down";"1";"";"1"
"CPCO";"PR-3";"Finish";"drop_down";"1";"";"1"
"CPCO";"PR-6";"Finish";"drop_down";"1";"";"1"
"CPCO";"PR-98";"Finish";"drop_down";"1";"";"1"
"CPCO";"PR-99";"Finish";"drop_down";"1";"";"1"
"CPCO";"QN-98";"Finish";"drop_down";"1";"";"1"
"CPCO";"QN-99";"Finish";"drop_down";"1";"";"1"
"CPCO";"SH-27";"Finish";"drop_down";"1";"";"1"
"CPCO";"TS-24C";"Finish";"drop_down";"1";"";"1"
"CPCO";"WP-91";"Finish";"drop_down";"1";"";"1"
"CPCO";"WP-92";"Finish";"drop_down";"1";"";"1"
"CPCO";"WP-93";"Finish";"drop_down";"1";"";"1"
"CPCO";"WP-94";"Finish";"drop_down";"1";"";"1"
"CPCO";"WP-98";"Finish";"drop_down";"1";"";"1"
"CPCO";"WP-99";"Finish";"drop_down";"1";"";"1"
"CPCO";"MA-2/22";"Finish";"drop_down";"1";"";"1"
"CPCO";"MA-1TB/22";"Finish";"drop_down";"1";"";"1"
"CPCO";"MA-5/22";"Finish";"drop_down";"1";"";"1"
"CPCO";"PR-2/22";"Finish";"drop_down";"1";"";"1"
"CPCO";"PR-1/22";"Finish";"drop_down";"1";"";"1"
"CPCO";"PR-5/22";"Finish";"drop_down";"1";"";"1"
"CPCO";"DM-1/3X";"Finish";"drop_down";"1";"";"1"
"CPCO";"DM-1/4X";"Finish";"drop_down";"1";"";"1"
"CPCO";"DM-1/5X";"Finish";"drop_down";"1";"";"1"
"CPCO";"DM-2/3X";"Finish";"drop_down";"1";"";"1"
"CPCO";"DM-2/4X";"Finish";"drop_down";"1";"";"1"
"CPCO";"DM-2/5X";"Finish";"drop_down";"1";"";"1"
"CPCOS";"BL-29";"Finish";"VB-Venetian Bronze";"VB";"1"
"CPCOS";"BL-29";"Finish";"PC-Polished Chrome";"PC";"2"
"CPCOS";"BL-29";"Finish";"SN-Satin Nickel";"SN";"3"
"CPCOS";"BL-29";"Finish";"PN-Polished Nickel";"PN";"4"
"CPCOS";"BL-29";"Finish";"SB-Satin Brass";"SB";"5"
"CPCOS";"BL-29";"Finish";"SC-Satin Chrome";"SC";"6"
"CPCOS";"BL-29";"Finish";"AB-Antique Brass";"AB";"7"
"CPCOS";"BL-29";"Finish";"AC-Antique Copper";"AC";"8"
"CPCOS";"BL-29";"Finish";"ABrnz-Antique Bronze";"ABrnz";"9"
"CPCOS";"BL-29";"Finish";"AP-Antique Pewter";"AP";"10"
"CPCOS";"BL-29";"Finish";"ORB-Oil Rubbed Bronze";"ORB";"11"
"CPCOS";"BL-29";"Finish";"BB-Brushed Bronze";"BB";"12"
"CPCOS";"BL-29";"Finish";"PB-Polished Brass";"PB";"13"
"CPCOS";"BSK-10ST";"Finish";"VB-Venetian Bronze";"VB";"1"
"CPCOS";"BSK-10ST";"Finish";"PC-Polished Chrome";"PC";"2"
"CPCOS";"BSK-10ST";"Finish";"SN-Satin Nickel";"SN";"3"
"CPCOS";"BSK-10ST";"Finish";"PN-Polished Nickel";"PN";"4"
"CPCOS";"BSK-10ST";"Finish";"SB-Satin Brass";"SB";"5"
"CPCOS";"BSK-10ST";"Finish";"SC-Satin Chrome";"SC";"6"
"CPCOS";"BSK-10ST";"Finish";"AB-Antique Brass";"AB";"7"
"CPCOS";"BSK-10ST";"Finish";"AC-Antique Copper";"AC";"8"
"CPCOS";"BSK-10ST";"Finish";"ABrnz-Antique Bronze";"ABrnz";"9"
"CPCOS";"BSK-10ST";"Finish";"AP-Antique Pewter";"AP";"10"
"CPCOS";"BSK-10ST";"Finish";"ORB-Oil Rubbed Bronze";"ORB";"11"
"CPCOS";"BSK-10ST";"Finish";"BB-Brushed Bronze";"BB";"12"
"CPCOS";"BSK-10ST";"Finish";"PB-Polished Brass";"PB";"13"
"CPCOS";"BSK-20DT";"Finish";"VB-Venetian Bronze";"VB";"1"
"CPCOS";"BSK-20DT";"Finish";"PC-Polished Chrome";"PC";"2"
"CPCOS";"BSK-20DT";"Finish";"SN-Satin Nickel";"SN";"3"
"CPCOS";"BSK-20DT";"Finish";"PN-Polished Nickel";"PN";"4"
"CPCOS";"BSK-20DT";"Finish";"SB-Satin Brass";"SB";"5"
"CPCOS";"BSK-20DT";"Finish";"SC-Satin Chrome";"SC";"6"
"CPCOS";"BSK-20DT";"Finish";"AB-Antique Brass";"AB";"7"
"CPCOS";"BSK-20DT";"Finish";"AC-Antique Copper";"AC";"8"
"CPCOS";"BSK-20DT";"Finish";"ABrnz-Antique Bronze";"ABrnz";"9"
